Сравнение файлов TH.182e.exe и TH.182E.MANASHIELDNETWORKFIXED.EXE
000D5E50: A1 E9
000D5E51: 4C 0B
000D5E52: D0 01
000D5E53: 69 00
000D5E55: 83 90
000D5E56: F8 90
000D5E57: 01 90
000D5E58: 74 90
000D5E59: 04 90
000D5F60: 00 8B
000D5F61: 00 0D
000D5F62: 00 48
000D5F63: 00 D0
000D5F64: 00 69
000D5F66: 00 83
000D5F67: 00 F9
000D5F69: 00 0F
000D5F6A: 00 84
000D5F6B: 00 EB
000D5F6C: 00 FE
000D5F6D: 00 FF
000D5F6E: 00 FF
000D5F6F: 00 8B
000D5F70: 00 04
000D5F71: 00 8D
000D5F72: 00 68
000D5F73: 00 76
000D5F74: 00 69
000D5F76: 00 69
000D5F77: 00 C0
000D5F78: 00 B0
000D5F7C: 00 05
000D5F7D: 00 58
000D5F7E: 00 7A
000D5F7F: 00 69
000D5F81: 00 80
000D5F82: 00 38
000D5F83: 00 0D
000D5F84: 00 75
000D5F85: 00 0E
000D5F86: 00 83
000D5F87: 00 C0
000D5F88: 00 74
000D5F89: 00 8B
000D5F8A: 00 55
000D5F8B: 00 1C
000D5F8C: 00 3B
000D5F8D: 00 10
000D5F8E: 00 0F
000D5F8F: 00 84
000D5F90: 00 CA
000D5F91: 00 FE
000D5F92: 00 FF
000D5F93: 00 FF
000D5F94: 00 49
000D5F95: 00 EB
000D5F96: 00 CF
000D5F97: 00 90
000D5F98: 00 90
000D5F99: 00 90
000D5F9A: 00 90
000D5F9B: 00 90
000D5F9C: 00 90
000D5F9D: 00 90
000D5F9E: 00 90
000D5F9F: 00 90
